college02,num_weight,experience02,parentrelations,height_total_inches,y_arrestedafter2002,nshot_summary_text
"not enrolled, high school degree",158,3,Unknown,65,False,"current education status is not enrolled, high school degree, and weight in pounds is 158, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 65"
"not enrolled, no high school degree, no GED",165,1,"biological mother, marital status unknown",66,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 165, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"not enrolled, no high school degree, no GED",195,1,"biological mother, other parent present",65,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 195, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 65"
"not enrolled, some college",152,1,"biological mother, marital status unknown",64,True,"current education status is not enrolled, some college, and weight in pounds is 152, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, some college",185,4,"biological mother, marital status unknown",69,False,"current education status is not enrolled, some college, and weight in pounds is 185, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 69"
"not enrolled, high school degree",162,1,"biological mother, marital status unknown",59,True,"current education status is not enrolled, high school degree, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 59"
"not enrolled, no high school degree, no GED",137,0,adoptive parent(s),67,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 137, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is adoptive parent(s), and height in inches is 67"
"enrolled in grades 1-12, not a high school graduate",146,0,anything else,62,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 146, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is anything else, and height in inches is 62"
"not enrolled, GED",212,2,"biological mother, marital status unknown",67,False,"current education status is not enrolled, GED, and weight in pounds is 212, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67"
"not enrolled, GED",130,2,"biological mother, marital status unknown",66,False,"current education status is not enrolled, GED, and weight in pounds is 130, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"enrolled in grades 1-12, not a high school graduate",115,3,"biological mother, marital status unknown",65,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 115, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 65"
